plate_assay,row,col,value
P2_20250311_AB,6,9,1.0
P2_20250311_AB,6,10,1.0
P2_20250311_AB,6,11,1.0
P2_20250311_AB,7,0,1.0
P2_20250311_AB,7,1,1.0
P2_20250311_AB,7,2,1.0
P2_20250311_AB,7,3,1.0
P2_20250311_AB,7,4,1.0
P2_20250311_AB,7,5,1.0
P2_20250311_AB,7,6,1.0
P2_20250311_AB,7,7,1.0
P2_20250311_AB,7,8,1.0
P2_20250311_AB,7,9,1.0
P2_20250311_AB,7,10,1.0
P2_20250311_AB,7,11,1.0
P3_20250311_AB,0,0,1.0
P3_20250311_AB,0,1,1.0
P3_20250311_AB,0,2,1.0
P3_20250311_AB,0,3,1.0
P3_20250311_AB,0,4,1.0
P3_20250311_AB,0,5,1.0
P3_20250311_AB,0,6,1.0
P3_20250311_AB,0,7,1.0
P3_20250311_AB,0,8,1.0
P3_20250311_AB,0,9,1.0
P3_20250311_AB,0,10,1.0
P3_20250311_AB,0,11,1.0
P3_20250311_AB,1,0,1.0
P3_20250311_AB,1,1,1.0
P3_20250311_AB,1,2,1.0
P3_20250311_AB,1,3,1.0
P3_20250311_AB,1,4,1.0
P3_20250311_AB,1,5,1.0
P3_20250311_AB,1,6,1.0
P3_20250311_AB,1,7,1.0
P3_20250311_AB,1,8,1.0
P3_20250311_AB,1,9,1.0
P3_20250311_AB,1,10,1.0
P3_20250311_AB,1,11,1.0
P3_20250311_AB,2,0,1.0
P3_20250311_AB,2,1,1.0
P3_20250311_AB,2,2,1.0
P3_20250311_AB,2,3,1.0
P3_20250311_AB,2,4,1.0
P3_20250311_AB,2,5,1.0
P3_20250311_AB,2,6,1.0
P3_20250311_AB,2,7,1.0
P3_20250311_AB,2,8,1.0
P3_20250311_AB,2,9,1.0
P3_20250311_AB,2,10,1.0
P3_20250311_AB,2,11,1.0
P3_20250311_AB,3,0,1.0
P3_20250311_AB,3,1,1.0
P3_20250311_AB,3,2,1.0
P3_20250311_AB,3,3,1.0
P3_20250311_AB,3,4,1.0
P3_20250311_AB,3,5,1.0
P3_20250311_AB,3,6,1.0
P3_20250311_AB,3,7,1.0
P3_20250311_AB,3,8,1.0
P3_20250311_AB,3,9,1.0
P3_20250311_AB,3,10,1.0
P3_20250311_AB,3,11,1.0
P3_20250311_AB,4,0,1.0
P3_20250311_AB,4,1,1.0
P3_20250311_AB,4,2,1.0
P3_20250311_AB,4,3,1.0
P3_20250311_AB,4,4,1.0
P3_20250311_AB,4,5,1.0
P3_20250311_AB,4,6,1.0
P3_20250311_AB,4,7,1.0
P3_20250311_AB,4,8,1.0
P3_20250311_AB,4,9,1.0
P3_20250311_AB,4,10,1.0
P3_20250311_AB,4,11,1.0
P3_20250311_AB,5,0,1.0
P3_20250311_AB,5,1,1.0
P3_20250311_AB,5,2,1.0
P3_20250311_AB,5,3,1.0
P3_20250311_AB,5,4,1.0
P3_20250311_AB,5,5,1.0
P3_20250311_AB,5,6,1.0
P3_20250311_AB,5,7,1.0
P3_20250311_AB,5,8,1.0
P3_20250311_AB,5,9,1.0
P3_20250311_AB,5,10,1.0
P3_20250311_AB,5,11,1.0
P3_20250311_AB,6,0,1.0
P3_20250311_AB,6,1,1.0
P3_20250311_AB,6,2,1.0
P3_20250311_AB,6,3,1.0
P3_20250311_AB,6,4,1.0
P3_20250311_AB,6,5,1.0
P3_20250311_AB,6,6,1.0
P3_20250311_AB,6,7,1.0
P3_20250311_AB,6,8,1.0
P3_20250311_AB,6,9,1.0
P3_20250311_AB,6,10,1.0
P3_20250311_AB,6,11,1.0
P3_20250311_AB,7,0,1.0
P3_20250311_AB,7,1,1.0
P3_20250311_AB,7,2,1.0
P3_20250311_AB,7,3,1.0
P3_20250311_AB,7,4,1.0
P3_20250311_AB,7,5,1.0
P3_20250311_AB,7,6,1.0
P3_20250311_AB,7,7,1.0
P3_20250311_AB,7,8,1.0
P3_20250311_AB,7,9,1.0
P3_20250311_AB,7,10,1.0
P3_20250311_AB,7,11,1.0
P4_20250311_AB,0,0,1.0
P4_20250311_AB,0,1,1.0
P4_20250311_AB,0,2,1.0
P4_20250311_AB,0,3,1.0
P4_20250311_AB,0,4,1.0
P4_20250311_AB,0,5,1.0
P4_20250311_AB,0,6,1.0
P4_20250311_AB,0,7,1.0
P4_20250311_AB,0,8,1.0
P4_20250311_AB,0,9,1.0
P4_20250311_AB,0,10,1.0
P4_20250311_AB,0,11,1.0
P4_20250311_AB,1,0,1.0
P4_20250311_AB,1,1,1.0
P4_20250311_AB,1,2,1.0
P4_20250311_AB,1,3,1.0
P4_20250311_AB,1,4,1.0
P4_20250311_AB,1,5,1.0
P4_20250311_AB,1,6,1.0
P4_20250311_AB,1,7,1.0
P4_20250311_AB,1,8,1.0
P4_20250311_AB,1,9,1.0
P4_20250311_AB,1,10,1.0
P4_20250311_AB,1,11,1.0
P4_20250311_AB,2,0,1.0
P4_20250311_AB,2,1,1.0
P4_20250311_AB,2,2,1.0
P4_20250311_AB,2,3,1.0
P4_20250311_AB,2,4,1.0
P4_20250311_AB,2,5,1.0
P4_20250311_AB,2,6,1.0
P4_20250311_AB,2,7,1.0
P4_20250311_AB,2,8,1.0
P4_20250311_AB,2,9,1.0
P4_20250311_AB,2,10,1.0
P4_20250311_AB,2,11,1.0
P4_20250311_AB,3,0,1.0
P4_20250311_AB,3,1,1.0
P4_20250311_AB,3,2,1.0
P4_20250311_AB,3,3,1.0
P4_20250311_AB,3,4,1.0
P4_20250311_AB,3,5,1.0
P4_20250311_AB,3,6,1.0
P4_20250311_AB,3,7,1.0
P4_20250311_AB,3,8,1.0
P4_20250311_AB,3,9,1.0
P4_20250311_AB,3,10,1.0
P4_20250311_AB,3,11,1.0
P4_20250311_AB,4,0,1.0
P4_20250311_AB,4,1,1.0
P4_20250311_AB,4,2,1.0
P4_20250311_AB,4,3,1.0
P4_20250311_AB,4,4,1.0
P4_20250311_AB,4,5,1.0
P4_20250311_AB,4,6,1.0
P4_20250311_AB,4,7,1.0
P4_20250311_AB,4,8,1.0
P4_20250311_AB,4,9,1.0
P4_20250311_AB,4,10,1.0
P4_20250311_AB,4,11,1.0
P4_20250311_AB,5,0,1.0
P4_20250311_AB,5,1,1.0
P4_20250311_AB,5,2,1.0
P4_20250311_AB,5,3,1.0
P4_20250311_AB,5,4,1.0
P4_20250311_AB,5,5,1.0
P4_20250311_AB,5,6,1.0
P4_20250311_AB,5,7,1.0
P4_20250311_AB,5,8,1.0
P4_20250311_AB,5,9,1.0
P4_20250311_AB,5,10,1.0
P4_20250311_AB,5,11,1.0
P4_20250311_AB,6,0,1.0
P4_20250311_AB,6,1,1.0
P4_20250311_AB,6,2,1.0
P4_20250311_AB,6,3,1.0
P4_20250311_AB,6,4,1.0
P4_20250311_AB,6,5,1.0
P4_20250311_AB,6,6,1.0
P4_20250311_AB,6,7,1.0
P4_20250311_AB,6,8,1.0
P4_20250311_AB,6,9,1.0
P4_20250311_AB,6,10,1.0
P4_20250311_AB,6,11,1.0
P4_20250311_AB,7,0,1.0
P4_20250311_AB,7,1,1.0
P4_20250311_AB,7,2,1.0
P4_20250311_AB,7,3,1.0
P4_20250311_AB,7,4,1.0
P4_20250311_AB,7,5,1.0
P4_20250311_AB,7,6,1.0
P4_20250311_AB,7,7,1.0
P4_20250311_AB,7,8,1.0
P4_20250311_AB,7,9,1.0
P4_20250311_AB,7,10,1.0
P4_20250311_AB,7,11,1.0
P5_20250311_AB,0,0,1.0
P5_20250311_AB,0,1,1.0
P5_20250311_AB,0,2,1.0
P5_20250311_AB,0,3,1.0
P5_20250311_AB,0,4,1.0
P5_20250311_AB,0,5,1.0
P5_20250311_AB,0,6,1.0
P5_20250311_AB,0,7,1.0
P5_20250311_AB,0,8,1.0
P5_20250311_AB,0,9,1.0
P5_20250311_AB,0,10,1.0
P5_20250311_AB,0,11,1.0
P5_20250311_AB,1,0,1.0
P5_20250311_AB,1,1,1.0
P5_20250311_AB,1,2,1.0
P5_20250311_AB,1,3,1.0
P5_20250311_AB,1,4,1.0
P5_20250311_AB,1,5,1.0
P5_20250311_AB,1,6,1.0
P5_20250311_AB,1,7,1.0
P5_20250311_AB,1,8,1.0
P5_20250311_AB,1,9,1.0
P5_20250311_AB,1,10,1.0
P5_20250311_AB,1,11,1.0
P5_20250311_AB,2,0,1.0
P5_20250311_AB,2,1,1.0
P5_20250311_AB,2,2,1.0
P5_20250311_AB,2,3,1.0
P5_20250311_AB,2,4,1.0
P5_20250311_AB,2,5,1.0
P5_20250311_AB,2,6,1.0
P5_20250311_AB,2,7,1.0
P5_20250311_AB,2,8,1.0
P5_20250311_AB,2,9,1.0
P5_20250311_AB,2,10,1.0
P5_20250311_AB,2,11,1.0
P5_20250311_AB,3,0,1.0
P5_20250311_AB,3,1,1.0
P5_20250311_AB,3,2,1.0
P5_20250311_AB,3,3,1.0
P5_20250311_AB,3,4,1.0
P5_20250311_AB,3,5,1.0
P5_20250311_AB,3,6,1.0
P5_20250311_AB,3,7,1.0
P5_20250311_AB,3,8,1.0
P5_20250311_AB,3,9,1.0
P5_20250311_AB,3,10,1.0
P5_20250311_AB,3,11,1.0
P5_20250311_AB,4,0,1.0
P5_20250311_AB,4,1,1.0
P5_20250311_AB,4,2,1.0
P5_20250311_AB,4,3,1.0
P5_20250311_AB,4,4,1.0
P5_20250311_AB,4,5,1.0
P5_20250311_AB,4,6,1.0
P5_20250311_AB,4,7,1.0
P5_20250311_AB,4,8,1.0
P5_20250311_AB,4,9,1.0
P5_20250311_AB,4,10,1.0
P5_20250311_AB,4,11,1.0
P5_20250311_AB,5,0,1.0
P5_20250311_AB,5,1,1.0
P5_20250311_AB,5,2,1.0
P5_20250311_AB,5,3,1.0
P5_20250311_AB,5,4,1.0
P5_20250311_AB,5,5,1.0
P5_20250311_AB,5,6,1.0
P5_20250311_AB,5,7,1.0
P5_20250311_AB,5,8,1.0
P5_20250311_AB,5,9,1.0
P5_20250311_AB,5,10,1.0
P5_20250311_AB,5,11,1.0
P5_20250311_AB,6,0,1.0
P5_20250311_AB,6,1,1.0
P5_20250311_AB,6,2,1.0
P5_20250311_AB,6,3,1.0
P5_20250311_AB,6,4,1.0
P5_20250311_AB,6,5,1.0
P5_20250311_AB,6,6,1.0
P5_20250311_AB,6,7,1.0
P5_20250311_AB,6,8,1.0
P5_20250311_AB,6,9,1.0
P5_20250311_AB,6,10,1.0
P5_20250311_AB,6,11,1.0
P5_20250311_AB,7,0,1.0
P5_20250311_AB,7,1,1.0
P5_20250311_AB,7,2,1.0
P5_20250311_AB,7,3,1.0
P5_20250311_AB,7,4,1.0
P5_20250311_AB,7,5,1.0
P5_20250311_AB,7,6,1.0
P5_20250311_AB,7,7,1.0
P5_20250311_AB,7,8,1.0
P5_20250311_AB,7,9,1.0
P5_20250311_AB,7,10,1.0
P5_20250311_AB,7,11,1.0
P6_20250311_AB,0,0,1.0
P6_20250311_AB,0,1,1.0
P6_20250311_AB,0,2,1.0
P6_20250311_AB,0,3,1.0
P6_20250311_AB,0,4,1.0
P6_20250311_AB,0,5,1.0
P6_20250311_AB,0,6,1.0
P6_20250311_AB,0,7,1.0
P6_20250311_AB,0,8,1.0
P6_20250311_AB,0,9,1.0
P6_20250311_AB,0,10,1.0
P6_20250311_AB,0,11,1.0
P6_20250311_AB,1,0,1.0
P6_20250311_AB,1,1,1.0
P6_20250311_AB,1,2,1.0
P6_20250311_AB,1,3,1.0
P6_20250311_AB,1,4,1.0
P6_20250311_AB,1,5,1.0
P6_20250311_AB,1,6,1.0
P6_20250311_AB,1,7,1.0
P6_20250311_AB,1,8,1.0
P6_20250311_AB,1,9,1.0
P6_20250311_AB,1,10,1.0
P6_20250311_AB,1,11,1.0
P6_20250311_AB,2,0,1.0
P6_20250311_AB,2,1,1.0
P6_20250311_AB,2,2,1.0
P6_20250311_AB,2,3,1.0
P6_20250311_AB,2,4,1.0
P6_20250311_AB,2,5,1.0
P6_20250311_AB,2,6,1.0
P6_20250311_AB,2,7,1.0
P6_20250311_AB,2,8,1.0
P6_20250311_AB,2,9,1.0
P6_20250311_AB,2,10,1.0
P6_20250311_AB,2,11,1.0
P6_20250311_AB,3,0,1.0
P6_20250311_AB,3,1,1.0
P6_20250311_AB,3,2,1.0
P6_20250311_AB,3,3,1.0
P6_20250311_AB,3,4,1.0
P6_20250311_AB,3,5,1.0
P6_20250311_AB,3,6,1.0
P6_20250311_AB,3,7,1.0
P6_20250311_AB,3,8,1.0
P6_20250311_AB,3,9,1.0
P6_20250311_AB,3,10,1.0
P6_20250311_AB,3,11,1.0
P6_20250311_AB,4,0,1.0
P6_20250311_AB,4,1,1.0
P6_20250311_AB,4,2,1.0
P6_20250311_AB,4,3,1.0
P6_20250311_AB,4,4,1.0
P6_20250311_AB,4,5,1.0
P6_20250311_AB,4,6,1.0
P6_20250311_AB,4,7,1.0
P6_20250311_AB,4,8,1.0
P6_20250311_AB,4,9,1.0
P6_20250311_AB,4,10,1.0
P6_20250311_AB,4,11,1.0
P6_20250311_AB,5,0,1.0
P6_20250311_AB,5,1,1.0
P6_20250311_AB,5,2,1.0
P6_20250311_AB,5,3,1.0
P6_20250311_AB,5,4,1.0
P6_20250311_AB,5,5,1.0
P6_20250311_AB,5,6,1.0
P6_20250311_AB,5,7,1.0
P6_20250311_AB,5,8,1.0
P6_20250311_AB,5,9,1.0
P6_20250311_AB,5,10,1.0
P6_20250311_AB,5,11,1.0
P6_20250311_AB,6,0,1.0
P6_20250311_AB,6,1,1.0
P6_20250311_AB,6,2,1.0
P6_20250311_AB,6,3,1.0
P6_20250311_AB,6,4,1.0
P6_20250311_AB,6,5,1.0
P6_20250311_AB,6,6,1.0
P6_20250311_AB,6,7,1.0
P6_20250311_AB,6,8,1.0
P6_20250311_AB,6,9,1.0
P6_20250311_AB,6,10,1.0
P6_20250311_AB,6,11,1.0
P6_20250311_AB,7,0,1.0
P6_20250311_AB,7,1,1.0
P6_20250311_AB,7,2,1.0
P6_20250311_AB,7,3,1.0
P6_20250311_AB,7,4,1.0
P6_20250311_AB,7,5,1.0
P6_20250311_AB,7,6,1.0
P6_20250311_AB,7,7,1.0
P6_20250311_AB,7,8,1.0
P6_20250311_AB,7,9,1.0
P6_20250311_AB,7,10,1.0
P6_20250311_AB,7,11,1.0
P7_20250311_AB,0,0,1.0
P7_20250311_AB,0,1,1.0
P7_20250311_AB,0,2,1.0
P7_20250311_AB,0,3,1.0
P7_20250311_AB,0,4,1.0
P7_20250311_AB,0,5,1.0
P7_20250311_AB,0,6,1.0
P7_20250311_AB,0,7,1.0
P7_20250311_AB,0,8,1.0
P7_20250311_AB,0,9,1.0
P7_20250311_AB,0,10,1.0
P7_20250311_AB,0,11,1.0
P7_20250311_AB,1,0,1.0
P7_20250311_AB,1,1,1.0
P7_20250311_AB,1,2,1.0
P7_20250311_AB,1,3,1.0
P7_20250311_AB,1,4,1.0
P7_20250311_AB,1,5,1.0
P7_20250311_AB,1,6,1.0
P7_20250311_AB,1,7,1.0
P7_20250311_AB,1,8,1.0
P7_20250311_AB,1,9,1.0
P7_20250311_AB,1,10,1.0
P7_20250311_AB,1,11,1.0
P7_20250311_AB,2,0,1.0
P7_20250311_AB,2,1,1.0
P7_20250311_AB,2,2,1.0
P7_20250311_AB,2,3,1.0
P7_20250311_AB,2,4,1.0
P7_20250311_AB,2,5,1.0
P7_20250311_AB,2,6,1.0
P7_20250311_AB,2,7,1.0
P7_20250311_AB,2,8,1.0
P7_20250311_AB,2,9,1.0
P7_20250311_AB,2,10,1.0
P7_20250311_AB,2,11,1.0
P7_20250311_AB,3,0,1.0
P7_20250311_AB,3,1,1.0
P7_20250311_AB,3,2,1.0
P7_20250311_AB,3,3,1.0
P7_20250311_AB,3,4,1.0
P7_20250311_AB,3,5,1.0
P7_20250311_AB,3,6,1.0
P7_20250311_AB,3,7,1.0
P7_20250311_AB,3,8,1.0
P7_20250311_AB,3,9,1.0
P7_20250311_AB,3,10,1.0
P7_20250311_AB,3,11,1.0
P7_20250311_AB,4,0,1.0
P7_20250311_AB,4,1,1.0
P7_20250311_AB,4,2,1.0
P7_20250311_AB,4,3,1.0
P7_20250311_AB,4,4,1.0
P7_20250311_AB,4,5,1.0
P7_20250311_AB,4,6,1.0
P7_20250311_AB,4,7,1.0
P7_20250311_AB,4,8,1.0
P7_20250311_AB,4,9,1.0
P7_20250311_AB,4,10,1.0
P7_20250311_AB,4,11,1.0
P7_20250311_AB,5,0,1.0
P7_20250311_AB,5,1,1.0
P7_20250311_AB,5,2,1.0
P7_20250311_AB,5,3,1.0
P7_20250311_AB,5,4,1.0
P7_20250311_AB,5,5,1.0
P7_20250311_AB,5,6,1.0
P7_20250311_AB,5,7,1.0
P7_20250311_AB,5,8,1.0
P7_20250311_AB,5,9,1.0
P7_20250311_AB,5,10,1.0
P7_20250311_AB,5,11,1.0
P7_20250311_AB,6,0,1.0
P7_20250311_AB,6,1,1.0
P7_20250311_AB,6,2,1.0
P7_20250311_AB,6,3,1.0
P7_20250311_AB,6,4,1.0
P7_20250311_AB,6,5,1.0
P7_20250311_AB,6,6,1.0
P7_20250311_AB,6,7,1.0
P7_20250311_AB,6,8,1.0
P7_20250311_AB,6,9,1.0
P7_20250311_AB,6,10,1.0
P7_20250311_AB,6,11,1.0
P7_20250311_AB,7,0,1.0
P7_20250311_AB,7,1,1.0
P7_20250311_AB,7,2,1.0
P7_20250311_AB,7,3,1.0
P7_20250311_AB,7,4,1.0
P7_20250311_AB,7,5,1.0
P7_20250311_AB,7,6,1.0
P7_20250311_AB,7,7,1.0
P7_20250311_AB,7,8,1.0
P7_20250311_AB,7,9,1.0
P7_20250311_AB,7,10,1.0
P7_20250311_AB,7,11,1.0
P8_20250311_AB,0,0,1.0
P8_20250311_AB,0,1,1.0
P8_20250311_AB,0,2,1.0
P8_20250311_AB,0,3,1.0
P8_20250311_AB,0,4,1.0
P8_20250311_AB,0,5,1.0
P8_20250311_AB,0,6,1.0
P8_20250311_AB,0,7,1.0
P8_20250311_AB,0,8,1.0
P8_20250311_AB,0,9,1.0
P8_20250311_AB,0,10,1.0
P8_20250311_AB,0,11,1.0
P8_20250311_AB,1,0,1.0
P8_20250311_AB,1,1,1.0
P8_20250311_AB,1,2,1.0
P8_20250311_AB,1,3,1.0
P8_20250311_AB,1,4,1.0
P8_20250311_AB,1,5,1.0
P8_20250311_AB,1,6,1.0
P8_20250311_AB,1,7,1.0
P8_20250311_AB,1,8,1.0
P8_20250311_AB,1,9,1.0
P8_20250311_AB,1,10,1.0
P8_20250311_AB,1,11,1.0
P8_20250311_AB,2,0,1.0
P8_20250311_AB,2,1,1.0
P8_20250311_AB,2,2,1.0
P8_20250311_AB,2,3,1.0
P8_20250311_AB,2,4,1.0
P8_20250311_AB,2,5,1.0
P8_20250311_AB,2,6,1.0
P8_20250311_AB,2,7,1.0
P8_20250311_AB,2,8,1.0
P8_20250311_AB,2,9,1.0
P8_20250311_AB,2,10,1.0
P8_20250311_AB,2,11,1.0
P8_20250311_AB,3,0,1.0
P8_20250311_AB,3,1,1.0
P8_20250311_AB,3,2,1.0
P8_20250311_AB,3,3,1.0
P8_20250311_AB,3,4,1.0
P8_20250311_AB,3,5,1.0
P8_20250311_AB,3,6,1.0
P8_20250311_AB,3,7,1.0
P8_20250311_AB,3,8,1.0
P8_20250311_AB,3,9,1.0
P8_20250311_AB,3,10,1.0
P8_20250311_AB,3,11,1.0
P8_20250311_AB,4,0,1.0
P8_20250311_AB,4,1,1.0
P8_20250311_AB,4,2,1.0
P8_20250311_AB,4,3,1.0
P8_20250311_AB,4,4,1.0
P8_20250311_AB,4,5,1.0
P8_20250311_AB,4,6,1.0
P8_20250311_AB,4,7,1.0
P8_20250311_AB,4,8,1.0
P8_20250311_AB,4,9,1.0
P8_20250311_AB,4,10,1.0
P8_20250311_AB,4,11,1.0
P8_20250311_AB,5,0,1.0
P8_20250311_AB,5,1,1.0
P8_20250311_AB,5,2,1.0
P8_20250311_AB,5,3,1.0
P8_20250311_AB,5,4,1.0
P8_20250311_AB,5,5,1.0
P8_20250311_AB,5,6,1.0
P8_20250311_AB,5,7,1.0
P8_20250311_AB,5,8,1.0
P8_20250311_AB,5,9,1.0
P8_20250311_AB,5,10,1.0
P8_20250311_AB,5,11,1.0
P8_20250311_AB,6,0,1.0
P8_20250311_AB,6,1,1.0
P8_20250311_AB,6,2,1.0
P8_20250311_AB,6,3,1.0
P8_20250311_AB,6,4,1.0
P8_20250311_AB,6,5,1.0
P8_20250311_AB,6,6,1.0
P8_20250311_AB,6,7,1.0
P8_20250311_AB,6,8,1.0
P8_20250311_AB,6,9,1.0
P8_20250311_AB,6,10,1.0
P8_20250311_AB,6,11,1.0
P8_20250311_AB,7,0,1.0
P8_20250311_AB,7,1,1.0
P8_20250311_AB,7,2,1.0
P8_20250311_AB,7,3,1.0
P8_20250311_AB,7,4,1.0
P8_20250311_AB,7,5,1.0
P8_20250311_AB,7,6,1.0
P8_20250311_AB,7,7,1.0
P8_20250311_AB,7,8,1.0
P8_20250311_AB,7,9,1.0
P8_20250311_AB,7,10,1.0
P8_20250311_AB,7,11,1.0
P9_20250311_AB,0,0,1.0
P9_20250311_AB,0,1,1.0
P9_20250311_AB,0,2,1.0
P9_20250311_AB,0,3,1.0
P9_20250311_AB,0,4,1.0
P9_20250311_AB,0,5,1.0
P9_20250311_AB,0,6,1.0
P9_20250311_AB,0,7,1.0
